(mmol/g),Qst(kJ/mol)
0.01,20.40403925
0.02,19.97217265
0.03,19.72325531
0.04,19.54917795
0.05,19.41621829
0.06,19.30923778
0.07,19.22020495
0.08,19.14438103
0.09,19.07845669
0.1,19.02057779
0.11,18.96911727
0.12,18.92291792
0.13,18.88131748
0.14,18.84333327
0.15,18.80873955
0.16,18.77715883
0.17,18.74800296
0.18,18.72107038
0.19,18.69617444
0.2,18.6731836
0.21,18.65167665
0.22,18.63170231
0.23,18.61301239
0.24,18.59572729
0.25,18.57963292
0.26,18.56438487
0.27,18.5502918
0.28,18.53707997
0.29,18.52472105
0.3,18.51313296
0.31,18.50235479
0.32,18.49231063
0.33,18.48284715
0.34,18.47408599
0.35,18.46591043
0.36,18.45829102
0.37,18.45124581
0.38,18.44467586
0.39,18.43859297
0.4,18.43300871
0.41,18.42790319
0.42,18.42319327
0.43,18.41889626
0.44,18.41499077
0.45,18.41150566
0.46,18.40833252
0.47,18.4055603
0.48,18.40311558
0.49,18.40099065
0.5,18.39924901
